Output_title,Group_Title,Chair_s,Group_Type,DOI,Output_Status,Review_period_starts,Review_period_ends,Description,Primary_WG_Focus_Output_focus,Primary_Domain_Field_of_Expertise,Recommendation_Card,Adoption_Story_Title
Core Characteristics of Learning Resource Collectors,Education and Training on Handling of Research Data IG,"Laura Molloy, Katarzyna Biernacka, Amy Nurnberger",Interest Group,NA,RDA Supporting Outputs,5/4/2022,9/5/2022," 
As part of the Education And Training On Handling Of Research Data IG (ETHRD-IG) activities, the Learning Resource Collectors Focus Group studied the evolving landscape of learning resources on RDM topics. As we collected and listed a snapshot of current catalogues or registries of learning resources for review, we realized that a set of core characteristics could describe these types of organisations that would be useful to help people evaluate and understand the resources they offer. In addition, the identification of core characteristics could help the organisations themselves consider some of the factors that might help them build, structure, and sustain their collections and the services they offer in support of researchers and data specialists seeking learning resources on RDM and data skills topics. This document also supports the work of another ETHRD-IG focus group that recommends a set of minimal metadata elements for learning resources.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Core%20Characteristics%20of%20Learning%20Resource%20Collectors.pdf,NA
A Survey on Adoption Guidelines for the FAIR4RS Principles,FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,https://doi.org/10.5281/zenodo.6374598,Other Outputs (Not official),22/03/2022,NA,"The provision of adoption guidelines will help implement the FAIR4RS Principles. The FAIR4RS Working Group formed subgroups to address milestones (as contained in the case statement), including a subgroup on adoption guidelines, FAIR4RS Subgroup 5.",NA,NA,NA,NA
FAIR Principles for Research Software (FAIR4RS Principles),FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,NA,RDA Endorsed Recommendations,21/03/2022,21/04/2022,"


FAIR for Research Software (FAIR4RS) WG

",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/FAIR%20Principles%20for%20Research%20Software%20%28FAIR4RS%20Principles%29.pdf,NA
A Fresh Look at FAIR for Research Software,FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,NA,Other Outputs (Not official),11/6/2021,NA,"


FAIR for Research Software (FAIR4RS) WG

",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",NA,NA
The Open Handbook of Linguistic Data Management,Linguistics Data IG,"Andrea Berez-Kroeker, Helene N. Andreassen, Lindsay Ferrara",Interest Group,https://doi.org/10.7551/mitpress/12200.001.0001,Other Outputs (Not official),15/02/2022,NA,"A guide to principles and methods for the management, archiving, sharing, and citing of linguistic research data, especially digital data.
Published by MIT Press Open, 2022.",NA,"Humanities, Humanities/Languages and literature",NA,NA
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,InteroperAble Descriptions of Observable Property Terminology WG (I-ADOPT WG),"Barbara Magagna, Anusuriya Devaraju, Gwenaëlle Moncoiffé, Maria Stoica",Working Group,NA,RDA Endorsed Recommendations,3/2/2022,3/3/2022,"


 InteroperAble Descriptions of Observable Property Terminology (I-ADOPT) WG


",NA,"Natural Sciences, Natural Sciences/Earth and related environmental sciences, Natural Sciences/Biological sciences",https://www.rd-alliance.org/sites/default/files/InteroperAble%20Descriptions%20of%20Observable%20Property%20Terminologies%20%28I-ADOPT%29%20WG%20Outputs%20and%20Recommendations.pdf,NA
Metadata Schema for the Persistent Identification of Instruments,Persistent Identification of Instruments WG,"Louise Darroch, Markus Stocker, Rolf Krahl, Ted Habermann",Working Group,NA,RDA Endorsed Recommendations,10/1/2022,10/2/2022,"


 Persistent Identification of Instruments WG


",NA,"Natural Sciences, Natural Sciences/Physical sciences, Natural Sciences/Earth and related environmental sciences",https://www.rd-alliance.org/sites/default/files/Metadata%20Schema%20for%20the%20Persistent%20Identification%20of%20Instruments%20Output%20Card.pdf,NA
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,Research Metadata Schemas WG,"Mingfang Wu, Sarala Wimalaratne, Adam Shepherd, Leyla Jael Castro",Working Group,NA,RDA Supporting Outputs,12/1/2022,12/2/2022,"



Research Metadata Schemas WG




Group co-chairs: Mingfang Wu, Sarala Wimalaratne, Adam Shepherd, Leyla Garcia",NA,NA,https://www.rd-alliance.org/sites/default/files/A%20Collection%20of%20Crosswalks%20from%20Fifteen%20Research%20Data%20Schemas%20to%20Schemaorg.pdf,NA
23 Things Physical Samples,Physical Samples and Collections in the Research Data Ecosystem IG,"Kerstin Lehnert, Jens Klump, Esther Plomp, Lesley Wyborn",Interest Group,NA,RDA Supporting Outputs,2/11/2021,2/12/2021,"



Physical Samples and Collections in the Research Data Ecosystem IG


",NA,NA,NA,NA
Metadata Principles,Metadata IG,"Keith Jeffery, Rebecca Koskela, Alex Ball",Interest Group,NA,NA,8/8/2021,NA,Metadata Principles and Their Use,NA,NA,NA,NA
Guidelines for publishing structured metadata on the Web,Research Metadata Schemas WG,"Mingfang Wu, Sarala Wimalaratne, Adam Shepherd, Leyla Jael Castro",Working Group,NA,RDA Endorsed Recommendations,16/06/2021,16/07/2021,"The FAIR principles refer frequently to metadata as a key enabler in discoverability, but also having a major role in accessibility and reusability. Publishing structured metadata on the web can provide a simple and efficient means to increase the FAIRness of research resources: it exposes metadata contained in web pages through a formal mechanism, allowing systematic collection and processing by web-based crawlers.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Guidelines%20for%20Publishing%20Structured%20Metadata%20on%20the%20Web.pdf,NA
FAIR Principles for Research Software (FAIR4RS Principles),FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,NA,Recommendations with RDA Endorsement in Process,11/6/2021,11/7/2021,"


FAIR for Research Software (FAIR4RS) WG

",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",NA,NA
RDA17 Plenary session: Establishing a Sensitive Data Interest Group,Sensitive Data Interest Group,"Kristal Spreadborough, Aleksandra Michalewicz, Nichola Burton, Steven McEachern, Romain DAVID, Dharma Akmon, Kristan Kang, Sarah Davidson, Frankie Stevens",Interest Group,NA,Other Outputs (Not official),7/6/2021,NA,"This page contains the resources from the RDA 17 Plenary Session run by the Sensitive Data Interest Group. 
Session record: https://www.rd-alliance.org/plenaries/rda-17th-plenary-meeting-edinburgh...
Session Recording (log in required): https://rda-idcc.junolive.co/library/search/sensitive_data_establishing_...",NA,NA,NA,NA
International Materials Resource Registries Working Group Final Report and Recommendations,International Materials Resource Registries WG,"Raymond Plante, Chandler Becker",Working Group,NA,Recommendations with RDA Endorsement in Process,25/05/2021,25/06/2021,"



International Materials Resource Registries WG




Group co-chairs: Raymond Plante, Chandler Becker",NA,Engineering and Technology,NA,NA
Challenges of Curating for Reproducible and FAIR Research Output,CURE-FAIR WG,"Limor Peer, FLORIO JR ARGUILLAS, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",Historical Group,NA,RDA Supporting Outputs,21/04/2021,21/05/2021,"Computational reproducibility is the ability to repeat the analysis and arrive at the same result (National Academies of Sciences, Engineering, and Medicine, 2019).
",NA,NA,https://www.rd-alliance.org/sites/default/files/Challenges%20of%20Curating%20for%20Reproducible%20and%20FAIR%20Research%20Output%20-%20Output%20Card_0.pdf,NA
Guidelines for publishing structured metadata on the Web (v2.0 20210416),Research Metadata Schemas WG,"Mingfang Wu, Sarala Wimalaratne, Adam Shepherd, Leyla Jael Castro",Working Group,NA,Other Outputs (Not official),16/04/2021,16/05/2021,"This is the draft version of the final report, post it here for group members' feedback before submit it and go through the RDA process.
",NA,NA,NA,NA
Versioning Data Is About More than Revisions A Conceptual Framework and Proposed Principles,Data Versioning IG,"Jens Klump, Lesley Wyborn, Mingfang Wu, Kirsten Elger",Interest Group,NA,Other Outputs (Not official),8/4/2021,NA,The supporting output from this working group has been revised and published to the Data Science Journal.,NA,NA,NA,NA
RDA COVID-19 Zotero Library - March 2021,RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA COVID-19 Epidemiology,"Claire Austin, Rajini Nagrani, Priyanka Pillai",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA-COVID19-Social-Sciences,"Ingrid Dillo, Iryna Kuchma, Amy Pienta",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA COVID19 Coordination,NA,Coordination Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA COVID19-Legal-Ethical,Anne Cambon-Thomsen,Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA-COVID19-Omics,"Natalie Meyers, Rob Hooft, Juan Bicarregui",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA-COVID19-Clinical,"Sergio Bonini, Dawei Lin, Andrea Jackson Dipina, Anne Cambon-Thomsen",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA-COVID19-Community-participation,"Daniel Mietchen, Eva Méndez, Timea Biro, Sarah Jones, Kheeran Dharmawardena, Susanna-Assunta Sansone, Joanne Stocks",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,RDA-COVID19-Software,"Michelle Barker, Hugh Shanahan, Fotis Psomopoulos",Working Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA COVID-19 Zotero Library - March 2021,Epidemiology common standard for surveillance data reporting WG,"Claire Austin, Rajini Nagrani",Historical Group,10.15497/rda00051,RDA Supporting Outputs,5/6/2020,NA,"


            
RDA COVID-19



Subgroup Moderators:  Claire Austin, Anna Widyastuti, Rajini Nagrani


",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/COVID-19%20WG%20Zotero%20Library.pdf,NA
RDA Data Usage Metrics WG Recommendations,Data Usage Metrics WG,"Kelly Stathis, Ian Bruno, Matthew Buys",Working Group,10.15497/RDA00062,RDA Endorsed Recommendations,9/3/2021,9/4/2021,"This document outlines next steps and recommendations for widespread adoption of normalized data usage practices, as well as hurdles and limitations to be prioritized going forward. Repositories that utilize these recommendations will help drive a better understanding of data usage and contribute towards the development of research data assessment metrics.
",NA,NA,https://www.rd-alliance.org/sites/default/files/RDA%20Data%20Usage%20Metrics%20WG%20Recommendations.pdf,NA
Member survey on bridging the gap between funders and communities - perspectives on benefits and challenges of FAIR assessments V2.0,FAIR Data Maturity Model WG,"Edit Herczog, Keith Russell, Shelley Stall",Working Group,NA,RDA Supporting Outputs,15/01/2021,15/02/2021,"This report provides a consolidated view of the answers collected during a survey conducted in October 2020. This survey was conducted amongst members of the RDA FAIR Data Maturity Model Working Group and aimed at investigating the differences of perspectives on benefits and challenges of the FAIR assessments between members representing funders and research communities.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Member%20survey%20on%20bridging%20the%20gap%20Output%20Card.pdf,NA
Enhancing Access to Research Data to Combat COVID-19:  Recommendations to Funders,RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,NA,Other Outputs (Not official),NA,NA,"This briefing focuses on the higher level recommendatins to help policymakers and funders maximise timely, quality data sharing and to formulate appropriate responses during public health emergencies, and are meant to provide expert advice to funders on how to support and foster the best possible approach to research dissemination at a systems level, while also providing guidance on shaping grant conditions for COVID-19 research that will promote timely and reusable sharing of research outputs.
",NA,Medical and Health Sciences,NA,NA
MindMap Navigation Tool for the RDA COVID-19 Recommendations,RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,NA,Other Outputs (Not official),NA,NA,"


            
RDA COVID-19



 
Authors: RDA-COVID19 WG",NA,Medical and Health Sciences,NA,NA
DS-Wizard Navigation Tool for the RDA COVID-19 Recommendations,RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,NA,Other Outputs (Not official),NA,NA,"


            
RDA COVID-19



 
Authors: RDA-COVID19 WG



       
Website: https://covid-19.ds-wizard.org/dashboard



 


 



Abstract",NA,Medical and Health Sciences,NA,NA
Recommendations and Capacity Development Resource Kit,Capacity Development for Agriculture Data WG,"Suchith Anand, Chipo Msengezi, Karna Wegner",Working Group,NA,RDA Endorsed Recommendations,17/08/2020,17/09/2020,"


Capacity Development for Agriculture Data WG 



Group co-chairs: Suchith Anand, Chipo Msengezi, Karna Wegner",NA,Agricultural Sciences,https://www.rd-alliance.org/sites/default/files/Recommendations%20and%20Capacity.pdf,NA
Use cases and identifier schemes for persistent software source code identification (V1.1),RDA/FORCE11 Software Source Code Identification WG,"Roberto Di Cosmo, Martin Fenner, Daniel S. Katz",Historical Group,NA,RDA Supporting Outputs,17/07/2020,4/9/2020,"



RDA/FORCE11 Software Source Code Identification WG
As this WG has now completed, please direct any questions or comments about this Output to the Software Source Code Interest Group, which is ongoing.",NA,Engineering and Technology,https://www.rd-alliance.org/sites/default/files/Card%20RDA%2020200910.pdf,NA
test outputs,DMARC test group 1 - CHANGED,"Alessandro Petrocelli, Chair Name Chair Surname, Luca Di Fiore",Coordination Group,NA,Other Outputs (Not official),2/7/2020,NA,"test
Donec id elit non mi porta gravida at eget metus. Integer posuere erat a ante venenatis dapibus posuere velit aliquet. Aenean lacinia bibendum nulla sed consectetur. Maecenas sed diam eget risus varius blandit sit amet non magna.
Maecenas sed diam eget risus varius blandit sit amet non magna. Donec id elit non mi porta gravida at eget metus. Sed posuere consectetur est at lobortis. Curabitur blandit tempus porttitor.",NA,NA,NA,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA-COVID19-Omics,"Natalie Meyers, Rob Hooft, Juan Bicarregui",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA-COVID19-Clinical,"Sergio Bonini, Dawei Lin, Andrea Jackson Dipina, Anne Cambon-Thomsen",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA-COVID19-Community-participation,"Daniel Mietchen, Eva Méndez, Timea Biro, Sarah Jones, Kheeran Dharmawardena, Susanna-Assunta Sansone, Joanne Stocks",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA-COVID19-Software,"Michelle Barker, Hugh Shanahan, Fotis Psomopoulos",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA COVID-19 Epidemiology,"Claire Austin, Rajini Nagrani, Priyanka Pillai",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA-COVID19-Social-Sciences,"Ingrid Dillo, Iryna Kuchma, Amy Pienta",Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",RDA COVID19-Legal-Ethical,Anne Cambon-Thomsen,Working Group,NA,RDA Endorsed Recommendations,11/9/2020,NA,                                                                                                                                                                                                                                                                 ,NA,"Social Sciences, Medical and Health Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_COVID-WG.pdf,NA
Developing a Research Data Policy Framework for All Journals and Publishers,Data policy standardisation and implementation IG,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Rebecca Grant",Interest Group,10.5334/dsj-2020-005,RDA Supporting Outputs,25/06/2020,25/07/2020,"Defines and describes 14 features of journal research data policies and arranges these into a set of six standard policy types or tiers, which can be adopted by journals and publishers to promote data sharing in a way that encourages good practice and is appropriate for their audience's perceived needs.
",NA,NA,https://www.rd-alliance.org/sites/default/files/All%20Journals%20and%20Publishers.pdf,NA
Persistent Identification of Instruments,Persistent Identification of Instruments WG,"Louise Darroch, Markus Stocker, Rolf Krahl, Ted Habermann",Working Group,10.5334.dsj-2020-018,RDA Supporting Outputs,17/06/2020,17/07/2020,"


 Persistent Identification of Instruments WG


",NA,"Natural Sciences, Natural Sciences/Physical sciences, Natural Sciences/Earth and related environmental sciences",https://www.rd-alliance.org/sites/default/files/Persistent%20Identification%20of%20Instruments_0.pdf,NA
FAIR Data Maturity Model specification and guidelines,FAIR Data Maturity Model WG,"Edit Herczog, Keith Russell, Shelley Stall",Working Group,10.15497/rda00050,RDA Endorsed Recommendations,8/6/2020,NA,"This document describes a maturity model for FAIR assessment with assessment indicators, priorities and evaluation methods. This is useful for the normalisation of assessment approaches to enable comparison of their results.
",NA,NA,https://www.rd-alliance.org/sites/default/files/FAIR%20Data%20Maturity%20Model.pdf,Accelerating the implementation of FAIR assessment in practice
Sharing COVID-19 Epidemiology Data,RDA COVID-19 Epidemiology,"Claire Austin, Rajini Nagrani, Priyanka Pillai",Working Group,10.15497/rda00049  ,RDA Supporting Outputs,31/08/2020,21/09/2020,"An immediate understanding of the COVID-19 disease epidemiology is crucial to slowing infections, minimizing deaths, and making informed decisions about when, and to what extent, to impose mitigation measures, and when and how to reopen society.
",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/Sharing%20COVID-19%20Epidemiology%20Data.pdf,NA
